epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
16,2829.29,1.45811,1.33608,1.46944,0.76276,0.68498,0.75025,0.40241,1.55752,1.29233,1.53824,0.00133693,0.00133693,0.00133693
17,3005.12,1.43621,1.31111,1.45467,0.79218,0.71074,0.76155,0.41372,1.56116,1.23305,1.51701,0.00131493,0.00131493,0.00131493
18,3181.64,1.43421,1.32166,1.45481,0.8254,0.70469,0.78051,0.43638,1.50587,1.19726,1.49631,0.00129293,0.00129293,0.00129293
19,3358.3,1.41809,1.28183,1.43781,0.77425,0.723,0.77041,0.4267,1.51986,1.24962,1.49587,0.00127092,0.00127092,0.00127092
20,3534.98,1.42361,1.26723,1.44623,0.77245,0.72407,0.78167,0.42624,1.53963,1.19367,1.48376,0.00124892,0.00124892,0.00124892
21,3711.13,1.41228,1.27233,1.43116,0.76923,0.73213,0.77661,0.43905,1.49106,1.22315,1.47649,0.00122691,0.00122691,0.00122691
22,3886.66,1.39715,1.23558,1.41536,0.78215,0.72629,0.7863,0.43611,1.50924,1.17568,1.47165,0.00120491,0.00120491,0.00120491
23,4061.54,1.37555,1.2078,1.40424,0.80107,0.72639,0.78036,0.43062,1.55532,1.19141,1.48908,0.0011829,0.0011829,0.0011829
24,4236.7,1.37721,1.20094,1.4024,0.78673,0.74522,0.79772,0.45335,1.49097,1.14696,1.45161,0.0011609,0.0011609,0.0011609
25,4412.89,1.35641,1.17233,1.38744,0.78999,0.76826,0.81119,0.45676,1.47197,1.11903,1.43613,0.00113889,0.00113889,0.00113889
26,4589.25,1.3636,1.17735,1.3972,0.82516,0.75594,0.81934,0.47447,1.43231,1.09097,1.43465,0.00111689,0.00111689,0.00111689
27,4765.34,1.34671,1.1644,1.39246,0.80314,0.75651,0.81276,0.46141,1.4806,1.11124,1.4417,0.00109489,0.00109489,0.00109489
28,4940.94,1.33796,1.14295,1.37736,0.81694,0.74265,0.81498,0.4596,1.49718,1.106,1.45512,0.00107288,0.00107288,0.00107288
29,5116.57,1.33471,1.13323,1.37714,0.83713,0.76712,0.82586,0.47709,1.44882,1.06592,1.42001,0.00105088,0.00105088,0.00105088
30,5292.03,1.32678,1.11462,1.37291,0.80056,0.75602,0.82042,0.47252,1.45059,1.08276,1.41815,0.00102887,0.00102887,0.00102887
31,5468.44,1.31928,1.1106,1.36461,0.83231,0.75787,0.82641,0.479,1.4575,1.05547,1.42458,0.00100687,0.00100687,0.00100687
32,5644.85,1.31287,1.10824,1.36491,0.80054,0.77141,0.82531,0.46999,1.47046,1.07454,1.42444,0.000984864,0.000984864,0.000984864
33,5821.15,1.31622,1.09212,1.35909,0.8252,0.75936,0.82711,0.48959,1.4375,1.04305,1.41247,0.000962859,0.000962859,0.000962859
34,5997.72,1.29603,1.08341,1.35283,0.83327,0.77237,0.83268,0.48539,1.4523,1.02855,1.41292,0.000940855,0.000940855,0.000940855
35,6173.56,1.29463,1.07638,1.34713,0.79758,0.78671,0.82381,0.47839,1.45207,1.04093,1.41695,0.00091885,0.00091885,0.00091885
36,6348.84,1.28589,1.05183,1.33783,0.83788,0.77121,0.83937,0.49897,1.41061,1.00761,1.39785,0.000896846,0.000896846,0.000896846
37,6524.32,1.27935,1.04417,1.33381,0.83252,0.76505,0.83197,0.48024,1.4721,1.03175,1.43247,0.000874842,0.000874842,0.000874842
38,6700.25,1.27299,1.03502,1.33748,0.80053,0.78327,0.83488,0.491,1.42779,1.01335,1.40652,0.000852837,0.000852837,0.000852837
39,6876.39,1.26281,1.02318,1.32794,0.82911,0.77423,0.83765,0.48864,1.44812,1.01105,1.4047,0.000830833,0.000830833,0.000830833
40,7052.91,1.26393,1.02075,1.32629,0.82984,0.77195,0.83712,0.49032,1.43032,1.00354,1.39642,0.000808828,0.000808828,0.000808828
41,7228.51,1.24871,1.00745,1.30885,0.84573,0.76476,0.84532,0.49432,1.44092,0.99753,1.39432,0.000786824,0.000786824,0.000786824
42,7404.01,1.24541,0.99449,1.3075,0.81802,0.8004,0.84446,0.48382,1.45461,0.98868,1.40771,0.00076482,0.00076482,0.00076482
43,7579.32,1.23574,0.98747,1.31029,0.8307,0.79096,0.84586,0.50804,1.40702,0.95979,1.39161,0.000742815,0.000742815,0.000742815
44,7754.93,1.227,0.97682,1.30006,0.82193,0.80337,0.85189,0.5016,1.42306,0.96727,1.39807,0.000720811,0.000720811,0.000720811
45,7931.71,1.22104,0.96119,1.30059,0.80634,0.80203,0.84422,0.49689,1.43512,0.97047,1.41087,0.000698806,0.000698806,0.000698806
46,8108.2,1.2148,0.95386,1.29179,0.84752,0.80846,0.85867,0.50862,1.43221,0.94219,1.3981,0.000676802,0.000676802,0.000676802
47,8284.42,1.2099,0.93056,1.28758,0.83288,0.80094,0.85019,0.50747,1.41081,0.94369,1.37569,0.000654798,0.000654798,0.000654798
48,8459.96,1.20051,0.93422,1.28118,0.83623,0.80143,0.85584,0.51498,1.40481,0.93491,1.3832,0.000632793,0.000632793,0.000632793
49,8635.34,1.19138,0.91587,1.28216,0.84064,0.79943,0.85273,0.50819,1.4104,0.93275,1.39323,0.000610789,0.000610789,0.000610789
50,8810.52,1.19102,0.90965,1.27417,0.83171,0.81328,0.8532,0.50726,1.42782,0.93418,1.39448,0.000588784,0.000588784,0.000588784
51,8986.27,1.17962,0.90481,1.27332,0.83284,0.81305,0.85582,0.50297,1.44039,0.92632,1.39259,0.00056678,0.00056678,0.00056678
52,9160.49,1.1847,0.90018,1.27254,0.83701,0.82324,0.86305,0.51279,1.4318,0.91654,1.38603,0.000544776,0.000544776,0.000544776
53,9334.31,1.17222,0.89998,1.25952,0.84327,0.81004,0.86289,0.51273,1.41751,0.92498,1.38771,0.000522771,0.000522771,0.000522771
54,9504.61,1.16341,0.89284,1.26085,0.83705,0.82447,0.86083,0.51216,1.42256,0.92514,1.3883,0.000500767,0.000500767,0.000500767
55,9686.62,1.15658,0.8722,1.25261,0.84253,0.82062,0.86317,0.51561,1.42245,0.90663,1.38111,0.000478762,0.000478762,0.000478762
56,9858,1.14802,0.85714,1.24555,0.83502,0.82822,0.86241,0.51388,1.41855,0.91868,1.38298,0.000456758,0.000456758,0.000456758
57,10027.2,1.13322,0.85951,1.24446,0.83287,0.80942,0.85621,0.50379,1.44828,0.90904,1.40362,0.000434754,0.000434754,0.000434754
58,10199.4,1.13235,0.84515,1.23722,0.83577,0.82315,0.86427,0.51957,1.42091,0.89986,1.38898,0.000412749,0.000412749,0.000412749
59,10371.6,1.12622,0.83607,1.23332,0.8409,0.81374,0.86549,0.52243,1.41214,0.89252,1.38195,0.000390745,0.000390745,0.000390745
60,10543.2,1.12078,0.83034,1.22256,0.84198,0.81911,0.86695,0.52485,1.404,0.88701,1.37156,0.00036874,0.00036874,0.00036874
61,10714.5,1.12124,0.82431,1.22948,0.83927,0.83133,0.8704,0.52887,1.40962,0.88178,1.37294,0.000346736,0.000346736,0.000346736
62,10886.1,1.10893,0.80699,1.21847,0.83377,0.82761,0.86637,0.52555,1.41248,0.87484,1.37775,0.000324732,0.000324732,0.000324732
63,11057,1.0974,0.80232,1.21431,0.83147,0.82562,0.86804,0.52502,1.41207,0.88204,1.37444,0.000302727,0.000302727,0.000302727
64,11228,1.10422,0.80338,1.21227,0.83613,0.83205,0.86744,0.52379,1.4179,0.87664,1.37863,0.000280723,0.000280723,0.000280723
65,11399.4,1.08526,0.78687,1.20687,0.82758,0.83028,0.86531,0.5267,1.41354,0.87386,1.3781,0.000258718,0.000258718,0.000258718
66,11600.6,1.06041,0.70422,1.19126,0.83232,0.82581,0.86379,0.52595,1.41467,0.87226,1.37551,0.000236714,0.000236714,0.000236714
67,11772.3,1.03052,0.6778,1.17969,0.83449,0.83118,0.86677,0.52713,1.41587,0.87141,1.37505,0.00021471,0.00021471,0.00021471
68,11943.4,1.02493,0.66966,1.17432,0.83142,0.83135,0.86704,0.52532,1.41494,0.87144,1.37777,0.000192705,0.000192705,0.000192705
69,12114.5,1.01337,0.65111,1.16519,0.83646,0.83698,0.86965,0.53024,1.41288,0.86369,1.37747,0.000170701,0.000170701,0.000170701
70,12285.5,0.99935,0.64761,1.15833,0.83251,0.82938,0.86971,0.53288,1.40996,0.86298,1.37697,0.000148696,0.000148696,0.000148696
71,12456.9,0.99009,0.63615,1.1499,0.83631,0.83473,0.87062,0.53459,1.40726,0.85206,1.37266,0.000126692,0.000126692,0.000126692
72,12628.6,0.98929,0.63048,1.15125,0.8249,0.84152,0.86995,0.53296,1.40701,0.85466,1.3723,0.000104688,0.000104688,0.000104688
73,12800.5,0.98528,0.62325,1.14854,0.83685,0.83111,0.87119,0.53621,1.40654,0.85129,1.37267,8.26832e-05,8.26832e-05,8.26832e-05
74,12972.5,0.96792,0.61277,1.14014,0.83979,0.82677,0.87129,0.5343,1.40812,0.85044,1.37281,6.06788e-05,6.06788e-05,6.06788e-05
75,13144.3,0.96447,0.60787,1.13941,0.83888,0.83605,0.87144,0.53667,1.40701,0.84559,1.37347,3.86744e-05,3.86744e-05,3.86744e-05
