epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,187.219,1.77674,2.20112,1.67026,0.51393,0.39034,0.3912,0.15778,2.1014,2.31298,2.05247,0.000554386,0.000554386,0.000554386
2,363.364,1.82025,1.98988,1.73564,0.45585,0.45246,0.43475,0.17279,1.97568,2.57835,1.8619,0.0010954,0.0010954,0.0010954
3,539.2,1.79347,1.93604,1.72574,0.47339,0.43207,0.42387,0.18034,1.96136,2.34021,1.95523,0.00162174,0.00162174,0.00162174
4,716.429,1.74505,1.86718,1.70243,0.60241,0.55644,0.5798,0.26309,1.84495,1.76016,1.80176,0.00160099,0.00160099,0.00160099
5,893.565,1.69575,1.76287,1.6491,0.64465,0.58503,0.61534,0.29996,1.71231,1.71282,1.63545,0.00157898,0.00157898,0.00157898
6,1070.06,1.63976,1.67874,1.60727,0.64695,0.56739,0.62447,0.30392,1.69381,1.60023,1.64184,0.00155698,0.00155698,0.00155698
7,1246.35,1.61167,1.6328,1.59324,0.70611,0.63434,0.6844,0.34394,1.66942,1.48526,1.61719,0.00153497,0.00153497,0.00153497
8,1422.43,1.57609,1.56584,1.571,0.66615,0.61481,0.66114,0.32501,1.70157,1.56382,1.61723,0.00151297,0.00151297,0.00151297
9,1597.98,1.55863,1.53847,1.55076,0.70181,0.64068,0.69315,0.36616,1.5833,1.47271,1.5624,0.00149096,0.00149096,0.00149096
10,1773.31,1.53755,1.49805,1.53717,0.71376,0.67269,0.7227,0.38063,1.57741,1.36352,1.55536,0.00146896,0.00146896,0.00146896
11,1949.67,1.51835,1.45776,1.51474,0.743,0.6805,0.73164,0.38724,1.59087,1.35767,1.54992,0.00144696,0.00144696,0.00144696
12,2126.35,1.51307,1.43528,1.50875,0.76395,0.67852,0.73489,0.40136,1.58818,1.34065,1.5747,0.00142495,0.00142495,0.00142495
13,2302.24,1.488,1.43304,1.4964,0.7869,0.65517,0.73888,0.39004,1.61392,1.38862,1.55954,0.00140295,0.00140295,0.00140295
14,2478.13,1.48291,1.38949,1.4885,0.73841,0.67471,0.71953,0.37661,1.59573,1.3965,1.57162,0.00138094,0.00138094,0.00138094
15,2653.7,1.46194,1.34938,1.4656,0.76758,0.72065,0.76202,0.42031,1.52091,1.27852,1.494,0.00135894,0.00135894,0.00135894
