epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1338.37,1.46298,1.31313,1.68093,0.74992,0.69102,0.74644,0.42127,1.48248,1.08881,1.65293,0.00076482,0.00076482,0.00076482
43,1370.1,1.47052,1.30238,1.65734,0.7818,0.6687,0.74728,0.44235,1.40457,1.11017,1.59808,0.000742815,0.000742815,0.000742815
44,1401.88,1.46474,1.27452,1.65639,0.78826,0.69125,0.76159,0.44492,1.40253,1.09888,1.5954,0.000720811,0.000720811,0.000720811
45,1433.54,1.44929,1.26525,1.65005,0.76241,0.70034,0.76297,0.4439,1.40772,1.05375,1.59622,0.000698806,0.000698806,0.000698806
46,1465.33,1.42862,1.24576,1.64034,0.7515,0.73407,0.77439,0.44937,1.41414,1.04914,1.60044,0.000676802,0.000676802,0.000676802
47,1498.17,1.44635,1.2783,1.65569,0.81711,0.66206,0.76085,0.44795,1.4076,1.04797,1.59706,0.000654798,0.000654798,0.000654798
48,1529.13,1.41181,1.2304,1.62274,0.77474,0.68522,0.7672,0.45142,1.39277,1.02866,1.59063,0.000632793,0.000632793,0.000632793
49,1560.04,1.41251,1.23766,1.61793,0.74918,0.70789,0.76497,0.4626,1.35904,1.02237,1.58409,0.000610789,0.000610789,0.000610789
50,1591.09,1.38714,1.21881,1.59611,0.77281,0.69838,0.76124,0.45555,1.35114,1.00972,1.55783,0.000588784,0.000588784,0.000588784
51,1621.91,1.40814,1.20117,1.59898,0.74629,0.71593,0.77039,0.44367,1.41875,1.04084,1.59533,0.00056678,0.00056678,0.00056678
52,1652.71,1.38857,1.19564,1.60219,0.78096,0.71593,0.77255,0.45117,1.3713,1.03302,1.57544,0.000544776,0.000544776,0.000544776
53,1683.6,1.37112,1.1779,1.60852,0.78337,0.6978,0.7586,0.46414,1.35821,1.01909,1.56698,0.000522771,0.000522771,0.000522771
54,1714.59,1.35958,1.14625,1.58447,0.82631,0.68402,0.78306,0.47629,1.33426,0.96768,1.53495,0.000500767,0.000500767,0.000500767
55,1745.38,1.35369,1.1586,1.56581,0.79235,0.70584,0.77761,0.47543,1.32843,0.9748,1.53395,0.000478762,0.000478762,0.000478762
56,1777.33,1.36265,1.15182,1.56549,0.81483,0.69723,0.77364,0.47774,1.32406,0.95568,1.53323,0.000456758,0.000456758,0.000456758
